0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
157,157,157,157,157,234,0,0,0,74,0,0,0,0,0,0
178,178,178,178,178,260,0,0,0,74,0,0,0,0,0,0
208,208,208,208,208,255,0,0,0,98,0,0,0,0,0,0
153,153,153,153,153,265,0,0,0,92,0,0,0,0,0,0
167,167,167,167,167,269,0,0,0,111,0,0,0,0,0,0
204,204,204,204,204,327,0,0,0,215,0,0,0,0,0,0
210,210,210,210,210,371,0,0,0,120,0,0,0,0,0,0
182,182,182,182,182,452,0,0,26,157,0,0,0,0,0,0
192,192,192,192,192,484,0,0,29,131,0,0,0,0,0,0
148,148,148,148,148,464,0,0,30,170,0,0,0,0,0,0
165,165,165,165,165,435,0,0,0,186,0,0,0,0,0,0
126,126,126,126,126,454,22,22,0,230,0,0,0,0,0,0
104,104,104,104,104,403,22,22,0,259,0,0,0,0,0,0
132,132,132,132,132,334,49,49,0,254,0,0,0,0,0,0
102,102,102,102,102,261,34,34,0,365,0,0,0,0,0,0
108,108,108,108,108,233,37,37,0,284,0,0,0,0,0,0
119,119,119,119,119,208,37,37,0,272,0,0,0,0,0,0
104,104,104,104,104,235,33,33,0,260,0,0,0,0,0,0
113,113,113,113,113,289,66,66,0,296,0,0,0,0,0,0
102,102,102,102,102,336,55,55,0,320,0,0,0,0,0,0
128,128,128,128,128,265,26,26,0,429,0,0,0,0,0,0
196,196,196,196,196,251,40,40,0,467,0,0,0,0,0,0
84,84,84,84,84,240,32,32,0,542,0,0,0,0,0,0
58,58,58,58,58,172,20,20,0,580,18,0,0,0,0,0
50,50,50,50,50,178,27,27,0,598,99,0,0,0,0,0
46,46,46,46,46,187,0,0,0,531,76,0,0,0,0,0
49,49,49,49,49,208,0,0,0,513,74,0,0,0,0,0
22,22,22,22,22,180,0,0,0,544,77,0,0,0,0,0
26,26,26,26,26,194,0,0,0,526,73,0,0,0,0,0
529,529,529,529,529,153,0,0,0,529,49,0,0,0,0,0
472,472,472,472,472,136,0,0,0,472,20,0,0,0,0,0
556,556,556,556,556,148,0,0,0,556,30,0,0,0,0,0
578,578,578,578,578,103,0,0,0,578,0,0,0,0,0,0
568,568,568,568,568,104,0,0,0,568,0,0,0,0,0,0
534,534,534,534,534,96,0,0,0,534,0,0,0,0,0,0
