0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
589,301,589,95,95,49,0,49,95,490,95,225,0,589,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,368,398,88,88,23,0,23,88,488,88,259,0,398,43,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,331,446,67,67,21,0,21,67,611,67,307,0,446,38,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,333,364,76,76,20,0,20,76,605,76,397,0,364,28,96,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,400,359,56,56,0,0,0,56,591,56,406,0,359,27,72,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,355,309,48,48,27,0,27,48,466,48,227,0,309,36,29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,454,406,50,50,0,0,0,50,463,50,425,0,406,32,37,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,922,922,52,52,28,0,28,52,486,52,382,0,922,29,51,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,482,482,25,25,40,0,40,25,480,25,258,0,482,28,40,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,519,519,48,48,62,0,62,48,547,48,388,0,519,38,62,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,480,480,38,38,49,0,49,38,522,38,308,0,480,30,49,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,447,447,41,41,413,0,413,41,440,41,319,0,447,31,413,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,430,430,26,26,422,0,422,26,611,26,532,0,430,33,422,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,339,339,30,30,381,0,381,30,505,30,300,0,339,27,381,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,767,767,33,33,767,0,767,33,497,33,511,0,767,20,767,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,777,777,35,35,777,0,777,35,553,35,415,0,777,28,777,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614,614,614,39,39,614,0,614,39,568,39,216,0,614,30,614,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,488,488,204,204,488,0,488,204,493,204,195,0,488,35,488,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,250,250,157,157,250,0,250,157,541,157,296,0,250,37,250,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,583,583,134,134,583,0,583,134,612,134,432,612,583,35,583,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,612,612,138,138,612,0,612,138,601,138,465,601,612,27,612,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,568,568,129,129,568,0,568,129,563,129,449,563,568,25,568,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,514,514,881,881,514,0,514,881,881,881,204,881,514,25,514,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,533,533,645,645,533,0,533,645,645,645,491,645,533,41,533,645,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,535,535,776,776,535,0,535,776,776,776,408,776,535,35,535,776,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,584,584,782,782,584,0,584,782,782,782,433,782,584,35,584,782,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,532,532,776,776,532,0,532,776,776,776,456,776,532,53,532,776,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,732,732,829,829,732,0,732,829,829,829,519,829,732,60,732,829,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,518,518,781,781,518,0,518,781,781,781,473,781,518,62,518,781,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,576,576,871,871,576,0,576,871,871,871,464,871,576,90,576,871,177,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,542,542,874,874,542,0,542,874,874,874,410,874,542,108,542,874,141,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,577,577,950,950,577,0,577,950,950,950,445,950,577,80,577,950,124,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,492,492,874,874,492,0,492,874,874,874,488,874,492,102,492,874,133,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,549,549,812,812,549,0,549,812,812,812,515,812,549,60,549,812,129,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,601,601,679,679,601,20,601,679,679,679,453,679,601,67,601,679,217,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,622,622,850,850,622,63,622,850,850,850,474,850,622,72,622,850,220,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,582,582,634,634,582,85,582,634,634,634,526,634,582,62,582,634,246,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,498,498,905,905,498,77,498,905,905,905,499,905,498,58,498,905,26,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,416,416,741,741,416,58,416,741,741,741,436,741,416,61,416,741,30,58,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,428,428,406,406,428,56,428,406,406,406,469,406,428,48,428,406,43,56,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,523,523,625,625,523,46,523,625,625,625,557,625,523,53,523,625,67,46,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,538,538,740,740,538,65,538,740,740,740,559,740,538,77,538,740,79,65,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,523,523,406,406,523,54,523,406,406,406,541,406,523,93,523,406,90,54,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,255,255,908,908,255,140,255,908,908,908,496,908,255,77,255,908,94,140,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,497,497,362,362,497,55,497,362,362,362,489,362,497,58,497,362,105,55,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
