IC,CG,Total,IC_amp,CG_amp,Total_amp,IC_abs_amp,CG_abs_amp,Total_abs_amp
41.0,6.0,47.0,29.94,-93.651,-63.711,160.048,152.177,312.225
45.0,4.0,49.0,32.177,-43.659,-11.482,141.441,43.659,185.1
49.0,4.0,53.0,80.244,-53.44,26.804,132.21,53.44,185.65
70.0,5.0,75.0,56.591,-4.836,51.755,232.499,59.194,291.693
85.0,2.0,87.0,14.35,-21.263,-6.913,250.614,21.263,271.877
82.0,4.0,86.0,83.987,-56.091,27.896,250.651,56.091,306.742
89.0,7.0,96.0,117.629,-101.289,16.34,316.601,101.289,417.89
113.0,13.0,126.0,147.316,-208.082,-60.766,370.41,208.082,578.492
107.0,8.0,115.0,130.676,-89.571,41.105,361.216,89.571,450.787
137.0,2.0,139.0,72.542,-42.354,30.188,484.594,42.354,526.948
148.0,8.0,156.0,127.544,-118.534,9.01,485.76,118.534,604.294
137.0,10.0,147.0,4.163,-112.336,-108.173,457.843,112.336,570.179
176.0,11.0,187.0,172.069,-108.34,63.729,485.923,108.34,594.263
142.0,12.0,154.0,84.59,-90.099,-5.509,484.218,90.099,574.317
183.0,4.0,187.0,191.255,-11.19,180.065,664.635,68.532,733.167
174.0,8.0,182.0,193.387,-136.18,57.207,530.241,136.18,666.421
180.0,7.0,187.0,191.186,-70.773,120.413,595.93,70.773,666.703
182.0,9.0,191.0,211.629,-107.015,104.614,622.923,107.015,729.938
167.0,4.0,171.0,214.101,-62.272,151.829,519.763,62.272,582.035
212.0,7.0,219.0,407.889,-88.172,319.717,726.533,88.172,814.705
209.0,3.0,212.0,333.558,-71.635,261.923,666.41,71.635,738.045
210.0,9.0,219.0,261.444,-129.086,132.358,703.56,129.086,832.646
225.0,0.0,225.0,340.135,0.0,340.135,676.233,0.0,676.233
263.0,8.0,271.0,477.723,-57.439,420.284,889.769,117.325,1007.094
210.0,3.0,213.0,257.435,-27.218,230.217,667.521,27.218,694.739
224.0,4.0,228.0,390.728,-64.289,326.439,651.806,64.289,716.095
275.0,17.0,292.0,352.552,-193.245,159.307,883.374,193.245,1076.619
238.0,5.0,243.0,421.981,-24.854,397.127,786.905,86.378,873.283
258.0,12.0,270.0,320.165,-196.813,123.352,780.777,196.813,977.59
242.0,10.0,252.0,431.183,-126.369,304.814,764.283,126.369,890.652
216.0,5.0,221.0,306.291,-34.701,271.59,607.353,34.701,642.054
270.0,13.0,283.0,338.57,-107.311,231.259,875.322,107.311,982.633
245.0,3.0,248.0,407.054,-34.581,372.473,789.052,34.581,823.633
201.0,4.0,205.0,356.302,-69.422,286.88,677.816,69.422,747.238
186.0,9.0,195.0,220.774,-116.503,104.271,620.966,116.503,737.469
218.0,2.0,220.0,343.611,-18.384,325.227,646.051,18.384,664.435
224.0,10.0,234.0,357.285,-91.687,265.598,694.161,91.687,785.848
217.0,17.0,234.0,210.936,-174.359,36.577,694.71,174.359,869.069
222.0,6.0,228.0,463.248,-26.858,436.39,672.442,66.382,738.824
248.0,4.0,252.0,412.815,-50.557,362.258,858.385,50.557,908.942
253.0,10.0,263.0,474.705,-165.183,309.522,869.833,165.183,1035.016
264.0,9.0,273.0,412.641,-95.167,317.474,891.605,95.167,986.772
251.0,15.0,266.0,326.844,-154.809,172.035,875.61,190.063,1065.673
268.0,6.0,274.0,415.994,-84.223,331.771,859.306,84.223,943.529
282.0,9.0,291.0,551.013,-105.227,445.786,970.377,105.227,1075.604
281.0,11.0,292.0,491.471,-151.264,340.207,934.735,151.264,1085.999
325.0,14.0,339.0,404.611,-152.967,251.644,1032.533,152.967,1185.5
293.0,15.0,308.0,524.888,-183.886,341.002,959.49,183.886,1143.376
265.0,6.0,271.0,323.384,-58.904,264.48,906.372,58.904,965.276
271.0,16.0,287.0,401.894,-243.706,158.188,939.04,243.706,1182.746
270.0,21.0,291.0,362.018,-350.79,11.228,864.074,350.79,1214.864
217.0,24.0,241.0,274.649,-302.047,-27.398,719.555,302.047,1021.602
226.0,21.0,247.0,262.546,-271.474,-8.928,816.38,271.474,1087.854
243.0,12.0,255.0,393.013,-103.021,289.992,803.821,103.021,906.842
217.0,9.0,226.0,356.018,-132.343,223.675,727.016,132.343,859.359
254.0,18.0,272.0,371.185,-233.363,137.822,940.451,233.363,1173.814
258.0,9.0,267.0,541.655,-98.68,442.975,889.547,98.68,988.227
252.0,9.0,261.0,426.095,-106.391,319.704,898.723,106.391,1005.114
231.0,22.0,253.0,294.16,-222.765,71.395,843.83,222.765,1066.595
232.0,10.0,242.0,420.335,-154.129,266.206,808.937,154.129,963.066
225.0,12.0,237.0,246.963,-147.451,99.512,814.841,147.451,962.292
235.0,25.0,260.0,347.948,-295.286,52.662,825.024,328.902,1153.926
239.0,17.0,256.0,403.868,-174.887,228.981,791.32,174.887,966.207
221.0,21.0,242.0,258.989,-255.407,3.582,816.973,255.407,1072.38
202.0,22.0,224.0,188.905,-221.686,-32.781,744.041,221.686,965.727
222.0,21.0,243.0,251.903,-239.71,12.193,808.427,239.71,1048.137
193.0,4.0,197.0,390.666,-35.18,355.486,618.556,35.18,653.736
222.0,24.0,246.0,293.17,-353.039,-59.869,784.776,353.039,1137.815
210.0,11.0,221.0,241.801,-23.391,218.41,788.447,180.741,969.188
221.0,10.0,231.0,386.462,-172.535,213.927,743.094,172.535,915.629
257.0,7.0,264.0,548.316,-93.768,454.548,899.418,93.768,993.186
232.0,14.0,246.0,489.823,-187.26,302.563,838.117,187.26,1025.377
277.0,15.0,292.0,474.081,-199.267,274.814,1017.589,199.267,1216.856
264.0,11.0,275.0,444.954,-121.174,323.78,1023.86,121.174,1145.034
244.0,9.0,253.0,525.078,-98.555,426.523,871.75,98.555,970.305
204.0,15.0,219.0,295.626,-229.222,66.404,764.778,229.222,994.0
217.0,16.0,233.0,423.658,-189.179,234.479,851.726,189.179,1040.905
201.0,15.0,216.0,361.465,-157.075,204.39,760.465,157.075,917.54
223.0,16.0,239.0,413.742,-251.365,162.377,860.152,251.365,1111.517
271.0,9.0,280.0,543.416,-112.078,431.338,982.464,112.078,1094.542
254.0,13.0,267.0,364.885,-160.641,204.244,1025.743,160.641,1186.384
232.0,7.0,239.0,413.207,-75.749,337.458,833.931,75.749,909.68
226.0,6.0,232.0,585.986,-79.629,506.357,948.384,79.629,1028.013
272.0,23.0,295.0,499.715,-274.527,225.188,1066.253,274.527,1340.78
226.0,17.0,243.0,312.193,-186.972,125.221,904.335,186.972,1091.307
237.0,13.0,250.0,621.864,-143.901,477.963,935.974,143.901,1079.875
244.0,25.0,269.0,491.485,-321.628,169.857,1016.057,321.628,1337.685
239.0,28.0,267.0,429.771,-315.249,114.522,955.867,315.249,1271.116
200.0,21.0,221.0,185.4,-305.111,-119.711,849.572,305.111,1154.683
244.0,14.0,258.0,496.281,-189.775,306.506,941.775,189.775,1131.55
259.0,20.0,279.0,365.752,-276.994,88.758,1049.228,276.994,1326.222
216.0,35.0,251.0,316.9,-475.659,-158.759,839.366,475.659,1315.025
242.0,31.0,273.0,343.38,-345.291,-1.911,873.87,379.153,1253.023
256.0,11.0,267.0,388.326,-112.737,275.589,957.002,112.737,1069.739
274.0,34.0,308.0,532.312,-464.265,68.047,1086.692,497.331,1584.023
252.0,11.0,263.0,320.089,-164.793,155.296,1111.195,164.793,1275.988
263.0,26.0,289.0,464.045,-335.215,128.83,1027.511,366.775,1394.286
233.0,28.0,261.0,459.218,-310.554,148.664,950.432,341.59,1292.022
213.0,15.0,228.0,397.34,-161.292,236.048,748.282,161.292,909.574
232.0,26.0,258.0,329.097,-291.584,37.513,863.859,291.584,1155.443
204.0,20.0,224.0,337.906,-242.564,95.342,881.594,242.564,1124.158
235.0,15.0,250.0,252.904,-203.9,49.004,927.778,203.9,1131.678
214.0,14.0,228.0,404.414,-152.517,251.897,863.134,186.987,1050.121
242.0,17.0,259.0,444.105,-219.076,225.029,979.193,219.076,1198.269
216.0,19.0,235.0,318.373,-197.136,121.237,832.671,234.118,1066.789
246.0,14.0,260.0,497.59,-180.835,316.755,1023.186,180.835,1204.021
249.0,11.0,260.0,533.028,-90.222,442.806,1055.416,121.176,1176.592
249.0,12.0,261.0,479.918,-178.022,301.896,1047.308,178.022,1225.33
297.0,19.0,316.0,763.291,-281.079,482.212,1270.067,281.079,1551.146
307.0,12.0,319.0,526.34,-174.886,351.454,1416.378,174.886,1591.264
273.0,12.0,285.0,581.564,-98.105,483.459,1257.34,136.245,1393.585
266.0,6.0,272.0,660.721,-72.028,588.693,1166.619,72.028,1238.647
318.0,21.0,339.0,616.636,-278.647,337.989,1468.38,278.647,1747.027
291.0,17.0,308.0,711.627,-138.795,572.832,1289.925,220.125,1510.05
283.0,22.0,305.0,535.787,-277.401,258.386,1134.823,277.401,1412.224
248.0,25.0,273.0,504.443,-357.004,147.439,1092.607,357.004,1449.611
307.0,27.0,334.0,444.74,-292.994,151.746,1270.574,292.994,1563.568
258.0,12.0,270.0,587.406,-139.663,447.743,1117.076,139.663,1256.739
268.0,21.0,289.0,643.271,-267.969,375.302,1135.461,300.051,1435.512
213.0,29.0,242.0,337.612,-404.041,-66.429,878.112,404.041,1282.153
211.0,24.0,235.0,434.296,-296.988,137.308,973.378,296.988,1270.366
248.0,22.0,270.0,447.563,-275.283,172.28,1058.497,275.283,1333.78
248.0,16.0,264.0,461.403,-170.856,290.547,1021.215,170.856,1192.071
264.0,10.0,274.0,684.321,-94.088,590.233,1176.707,94.088,1270.795
257.0,10.0,267.0,622.378,-131.656,490.722,1088.412,131.656,1220.068
257.0,13.0,270.0,502.161,-166.854,335.307,1083.851,166.854,1250.705
235.0,23.0,258.0,560.875,-327.822,233.053,1030.177,327.822,1357.999
226.0,27.0,253.0,375.933,-386.759,-10.826,958.047,386.759,1344.806
255.0,22.0,277.0,556.165,-225.992,330.173,1068.511,260.408,1328.919
225.0,33.0,258.0,435.302,-559.449,-124.147,866.732,559.449,1426.181
257.0,33.0,290.0,477.777,-467.888,9.889,1141.725,467.888,1609.613
259.0,24.0,283.0,477.957,-290.157,187.8,1155.077,320.281,1475.358
233.0,9.0,242.0,499.022,-127.084,371.938,965.214,127.084,1092.298
247.0,16.0,263.0,508.216,-199.569,308.647,1050.124,199.569,1249.693
229.0,13.0,242.0,459.71,-174.181,285.529,966.436,174.181,1140.617
280.0,22.0,302.0,551.77,-241.527,310.243,1085.996,272.135,1358.131
237.0,10.0,247.0,515.386,-125.22,390.166,1032.922,125.22,1158.142
240.0,7.0,247.0,575.558,-78.028,497.53,1020.898,78.028,1098.926
208.0,12.0,220.0,385.689,-110.786,274.903,880.185,218.788,1098.973
227.0,17.0,244.0,452.971,-168.356,284.615,1077.715,168.356,1246.071
223.0,10.0,233.0,502.591,-175.642,326.949,924.333,175.642,1099.975
196.0,17.0,213.0,566.81,-248.585,318.225,839.704,248.585,1088.289
207.0,14.0,221.0,477.379,-128.589,348.79,869.773,128.589,998.362
160.0,14.0,174.0,331.854,-201.298,130.556,616.314,201.298,817.612
207.0,18.0,225.0,310.535,-227.82,82.715,890.869,227.82,1118.689
213.0,14.0,227.0,393.467,-209.783,183.684,923.811,209.783,1133.594
230.0,16.0,246.0,482.329,-225.049,257.28,948.409,225.049,1173.458
210.0,19.0,229.0,414.819,-264.682,150.137,823.119,264.682,1087.801
165.0,17.0,182.0,316.507,-216.448,100.059,699.651,216.448,916.099
