0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,37,72,72,62,37,62,62,0,0,0,0,0,0,0,0,0
0,70,95,95,61,70,61,61,0,0,0,0,0,0,0,0,0
0,75,83,83,54,75,54,54,0,0,0,0,0,0,0,0,0
0,58,64,64,66,58,66,66,0,0,0,0,0,0,0,0,0
0,23,96,96,72,23,72,72,0,0,0,0,0,0,0,0,0
0,62,81,81,65,62,65,65,0,0,0,0,0,0,0,0,0
0,79,115,115,105,79,105,105,743,0,0,0,0,0,0,0,0
0,85,125,125,88,85,88,88,726,0,0,0,0,0,0,0,0
0,88,148,148,51,88,51,51,711,0,0,0,0,0,0,0,0
0,48,164,164,75,48,75,75,607,0,0,0,0,0,0,0,0
0,57,140,140,68,57,68,68,585,0,0,0,0,0,0,0,0
0,61,120,120,98,61,98,98,485,0,0,0,0,0,0,0,0
0,55,120,120,106,55,106,106,551,0,0,0,0,0,0,0,0
0,54,144,144,142,54,142,142,539,0,0,0,0,0,0,0,0
0,114,161,161,143,114,143,143,504,0,0,0,0,0,0,0,0
0,129,159,159,129,129,129,129,244,0,0,0,0,0,0,0,0
0,126,167,167,176,126,176,176,522,0,0,0,0,0,0,0,0
0,96,193,193,143,96,143,143,455,0,0,0,0,0,0,0,0
0,67,252,252,117,67,117,117,367,0,0,0,0,0,0,0,0
0,97,149,149,124,97,124,124,334,0,0,0,0,0,0,0,0
0,118,145,145,134,118,134,134,320,0,0,0,0,0,0,0,0
0,78,258,258,145,78,145,145,405,0,0,0,0,0,0,0,0
0,85,154,154,207,85,207,207,459,0,0,0,0,0,0,0,0
0,81,140,140,198,81,198,198,489,0,0,0,0,0,0,0,0
0,49,255,255,202,49,202,202,510,0,0,0,0,0,0,0,0
0,56,205,205,157,56,157,157,521,0,0,0,0,0,0,0,0
0,33,170,170,155,33,155,155,523,0,0,0,0,0,0,0,0
0,49,206,206,148,49,148,148,528,0,0,0,0,0,0,0,0
0,40,198,198,95,40,95,95,546,0,0,0,0,0,0,0,0
0,58,171,171,68,58,68,68,580,0,0,0,0,0,0,0,0
0,82,181,181,70,82,70,70,498,0,0,0,0,0,0,0,0
0,88,179,179,66,88,66,66,560,0,0,0,0,0,0,0,0
0,93,189,189,85,93,85,85,623,0,0,0,0,0,0,0,0
0,117,156,156,134,117,134,134,682,0,0,0,0,0,0,0,0
0,132,195,195,152,132,152,152,635,0,0,0,0,0,0,0,0
0,122,156,156,165,122,165,165,713,0,0,0,0,0,0,0,0
0,129,168,168,213,129,213,213,740,0,0,0,0,0,0,0,0
0,109,155,155,267,109,267,267,778,0,0,0,0,0,0,0,0
0,73,168,168,227,73,227,227,658,0,0,0,0,0,0,0,0
0,57,188,188,299,57,299,299,615,0,0,0,0,0,0,0,0
0,46,191,191,329,46,329,329,551,21,0,0,0,0,0,0,0
0,50,131,131,351,50,351,351,545,77,0,0,0,0,0,0,0
0,41,137,137,309,41,309,309,598,139,0,0,0,0,0,0,0
0,34,188,188,271,34,271,271,518,158,0,0,0,0,0,0,0
0,38,170,170,252,38,252,252,504,122,0,0,0,0,0,0,0
0,25,157,157,242,25,242,242,526,81,0,0,0,0,0,0,0
0,55,150,150,212,55,212,212,439,60,0,0,0,0,0,0,0
0,57,186,186,219,57,219,219,398,61,0,0,0,0,0,0,0
0,47,180,180,187,47,187,187,392,100,0,0,0,0,0,0,0
0,43,171,171,149,43,149,149,363,94,0,0,0,0,0,0,0
0,35,100,100,148,35,148,148,374,93,0,0,0,0,0,0,0
0,43,142,142,187,43,187,187,423,66,0,0,0,0,0,0,0
0,28,124,124,170,28,170,170,455,79,0,0,0,0,0,0,0
0,39,117,117,208,39,208,208,572,62,0,0,0,0,0,0,0
0,29,113,113,165,29,165,165,540,24,0,0,0,0,0,0,0
0,48,152,152,143,48,143,143,549,30,0,0,0,0,0,0,0
0,0,169,169,119,0,119,119,528,0,0,0,0,0,0,0,0
0,29,151,151,117,29,117,117,563,117,0,0,0,0,0,0,0
0,24,146,146,86,24,86,86,537,86,0,0,0,0,0,0,0
0,23,147,147,85,23,85,85,393,85,0,0,0,0,0,0,0
0,27,154,154,82,27,82,82,475,82,0,0,0,0,0,0,0
0,22,171,171,94,22,94,94,292,94,0,0,0,0,0,0,0
0,25,145,145,90,25,90,90,583,90,0,0,0,0,0,0,0
0,26,169,169,113,26,113,113,546,113,0,0,0,0,0,0,0
0,40,99,99,192,40,192,192,567,192,0,0,0,0,0,0,0
0,50,52,52,203,50,203,203,559,203,0,0,0,0,0,0,0
0,50,60,60,184,50,184,184,274,184,0,0,0,0,0,0,0
0,40,71,71,190,40,190,190,279,190,0,0,0,0,0,0,0
0,65,31,31,221,65,221,221,403,221,0,0,0,0,0,0,0
0,55,36,36,286,55,286,286,196,286,0,0,0,0,0,0,0
0,46,30,30,246,46,246,246,149,246,0,0,0,0,0,0,0
0,72,132,132,180,72,180,180,329,180,24,0,0,0,0,0,0
0,73,193,193,222,73,222,222,217,222,58,0,0,0,0,0,0
0,120,142,142,116,120,116,116,296,116,23,0,0,0,0,0,0
0,85,227,227,87,85,87,87,278,87,35,0,0,0,0,0,0
0,95,320,320,97,95,97,97,132,97,23,0,0,0,0,0,0
0,60,278,278,49,60,49,49,247,49,23,0,0,0,0,0,0
0,76,275,275,59,76,59,59,94,59,103,0,0,0,0,0,0
0,77,260,260,64,77,64,64,252,64,252,0,0,0,0,0,0
0,60,221,221,85,60,85,85,273,85,273,35,0,0,0,0,0
0,56,126,126,80,56,80,80,245,80,245,36,0,0,0,0,0
0,52,182,182,68,52,68,68,241,68,241,20,0,0,0,0,0
0,53,150,150,64,53,64,64,295,64,295,295,0,0,0,0,0
0,107,112,112,59,107,59,59,315,59,315,315,33,0,0,0,0
0,111,99,99,21,111,21,21,325,21,325,325,43,0,0,0,0
0,123,107,107,52,123,52,52,253,52,253,253,48,0,0,0,0
0,115,52,52,92,115,92,92,185,92,185,185,61,0,0,0,0
0,107,57,57,98,107,98,98,168,98,168,168,79,0,0,0,0
0,89,49,49,119,89,119,119,97,119,97,97,99,0,0,0,0
0,69,38,38,119,69,119,119,84,119,84,84,135,0,0,0,0
0,91,63,63,77,91,77,77,85,77,85,85,115,0,0,0,0
