0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
65,279,721,721,721,23,65,67,26,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,239,672,672,672,23,53,86,31,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,271,603,603,603,22,22,104,38,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,233,571,571,571,0,25,75,25,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,224,421,421,421,0,0,82,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,181,469,469,469,0,43,121,43,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,187,469,469,469,23,44,144,44,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,197,562,562,562,23,65,108,65,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,180,699,699,699,28,43,86,43,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,149,679,679,679,28,29,70,29,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,125,730,730,730,52,20,82,20,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,122,759,759,759,50,20,92,20,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,125,780,780,780,42,28,87,28,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,121,790,790,790,67,24,87,24,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,130,726,726,726,78,0,94,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,114,621,621,621,54,0,55,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,127,613,613,613,63,613,73,613,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,125,671,671,671,66,671,36,671,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,129,497,497,497,87,497,53,497,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,71,398,398,398,61,398,58,398,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,82,382,382,382,77,382,54,382,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,109,386,386,386,83,386,28,386,390,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,114,347,347,347,74,347,50,347,485,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,116,385,385,385,55,385,75,385,480,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,132,307,307,307,53,307,43,307,567,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,135,295,295,295,70,295,45,295,461,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,98,314,314,314,54,314,95,314,480,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,114,285,285,285,43,285,108,285,459,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,116,314,314,314,0,314,97,314,428,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,102,238,238,238,0,238,94,238,520,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,89,212,212,212,0,212,120,212,410,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
