,Coordinate,Scale_KM,TOT_dense,IC_num,CG_num,IC_amp,CG_amp,LJ,Sigma,Time,radar_ID,radar_Coor,max_SHI,nonneg_90_SHI,time_SHI,coor_SHI,valid_size_SHI,invalid_size_SHI,valid_range_SHI,datetime
417,"[151.27151701694913, -36.81470569491524]",14.46,0.09,53.0,6.0,195.728,71.034,Jump_1,-1.24254,06:54:00,No_Radar,No_Radar,,,,,,,,2021-10-14 06:54:00
418,"[151.30680571084338, -36.85841027710844]",16.021,0.103,76.0,7.0,295.771,96.444,Jump_1,0.62891,06:56:00,No_Radar,No_Radar,,,,,,,,2021-10-14 06:56:00
419,"[151.29423442105266, -36.84248307017543]",13.949,0.093,51.0,6.0,190.415,78.392,Jump_1,-0.66638,06:58:00,No_Radar,No_Radar,,,,,,,,2021-10-14 06:58:00
426,"[150.86233975609767, -36.44802470731708]",7.004,1.064,155.0,9.0,493.92,182.937,Jump_2,6.68735,07:12:00,No_Radar,No_Radar,,,,,,,,2021-10-14 07:12:00
427,"[150.86196629496408, -36.45630654676259]",6.908,0.927,131.0,8.0,481.165,89.636,Jump_2,-0.43576,07:14:00,No_Radar,No_Radar,,,,,,,,2021-10-14 07:14:00
428,"[150.8579087777778, -36.45225867901235]",8.244,0.759,154.0,8.0,584.801,107.269,Jump_2,0.37282,07:16:00,No_Radar,No_Radar,,,,,,,,2021-10-14 07:16:00
429,"[150.9955840472103, -36.63708991845494]",30.636,0.079,199.0,34.0,766.612,410.239,Jump_2,1.16578,07:18:00,No_Radar,No_Radar,,,,,,,,2021-10-14 07:18:00
436,"[150.9782633620689, -36.67332065517242]",24.106,0.064,92.0,24.0,436.909,418.196,Jump_3,2.67842,07:32:00,No_Radar,No_Radar,,,,,,,,2021-10-14 07:32:00
437,"[150.8671872372881, -36.55003337288135]",6.833,0.402,53.0,6.0,312.053,66.095,Jump_3,-2.36212,07:34:00,No_Radar,No_Radar,,,,,,,,2021-10-14 07:34:00
438,"[150.89153336363643, -36.59693743939393]",8.353,0.301,59.0,7.0,319.111,117.448,Jump_3,0.21618,07:36:00,No_Radar,No_Radar,,,,,,,,2021-10-14 07:36:00
439,"[150.93281696226413, -36.641279735849054]",10.48,0.307,91.0,15.0,502.831,405.286,Jump_3,1.17759,07:38:00,No_Radar,No_Radar,,,,,,,,2021-10-14 07:38:00
448,"[150.96421831914896, -36.826984547872335]",16.573,0.218,168.0,20.0,833.699,258.009,Jump_4,2.1127,07:56:00,No_Radar,No_Radar,,,,,,,,2021-10-14 07:56:00
449,"[150.98712448803823, -36.86937264593299]",15.498,0.277,188.0,21.0,787.083,323.921,Jump_4,0.85321,07:58:00,No_Radar,No_Radar,,,,,,,,2021-10-14 07:58:00
