520,100,520,100,100,0,100,222,0,0,0,0,0
463,120,463,120,120,0,120,191,0,0,0,0,0
613,128,613,128,128,0,128,147,0,0,0,0,0
703,141,703,141,141,0,141,150,0,0,0,0,0
620,169,620,169,169,0,169,148,0,0,0,0,0
369,213,369,213,213,0,213,146,21,0,0,0,0
403,171,403,171,171,0,171,180,23,0,0,0,0
450,129,450,129,129,0,129,150,23,0,0,0,0
522,154,522,154,154,0,154,171,21,0,0,0,0
581,177,581,177,177,0,177,148,0,0,0,0,0
367,172,367,172,172,0,172,155,0,0,0,0,0
444,210,444,210,210,0,210,182,0,0,0,0,0
395,147,395,147,147,0,147,160,0,0,0,0,0
459,242,459,242,242,0,242,169,0,0,0,0,0
506,227,506,227,227,0,227,191,0,0,0,0,0
521,154,521,154,154,0,154,240,0,0,0,0,0
381,156,381,156,156,0,156,290,0,0,0,0,0
355,154,355,154,154,0,154,323,0,0,0,0,0
449,184,449,184,184,0,184,243,0,0,0,0,0
410,206,410,206,206,0,206,243,0,0,0,0,0
447,170,447,170,170,0,170,164,0,0,0,0,0
465,205,465,205,205,0,205,163,0,0,0,0,0
444,199,444,199,199,0,199,121,0,0,0,0,0
399,163,399,163,163,0,163,125,0,0,0,0,0
354,139,354,139,139,0,139,148,0,0,0,0,0
356,130,356,130,130,0,130,206,0,0,0,0,0
308,92,308,92,92,0,92,287,0,0,0,0,0
317,113,317,113,113,0,113,250,0,0,0,0,0
289,85,289,85,85,0,85,256,0,0,0,0,0
245,117,245,117,117,0,117,214,0,0,0,0,0
262,72,262,72,72,0,72,164,0,0,0,0,0
227,84,227,84,84,0,84,204,0,0,0,0,0
281,79,281,79,79,0,79,138,0,0,0,0,0
284,53,284,53,53,0,53,94,0,0,0,0,0
308,72,308,72,72,0,72,48,0,0,0,0,0
285,64,285,64,64,0,64,42,0,0,0,0,0
212,72,212,72,72,0,72,56,0,0,0,0,0
216,75,216,75,75,0,75,49,0,0,0,0,0
210,68,210,68,68,0,68,64,0,0,0,0,0
267,66,267,66,66,0,66,56,0,0,0,0,0
391,77,391,77,77,0,77,79,0,0,0,0,0
297,84,297,84,84,0,84,103,0,0,0,0,0
314,83,314,83,83,0,83,109,0,0,0,0,0
254,79,254,79,79,0,79,84,0,0,0,0,0
179,87,179,87,87,0,87,109,0,0,0,0,0
179,92,179,92,92,0,92,67,0,0,0,0,0
203,66,203,66,66,0,66,72,0,0,0,0,0
187,88,187,88,88,0,88,70,0,0,0,0,0
149,59,149,59,59,0,59,66,0,0,0,0,0
109,47,109,47,47,0,47,50,0,0,0,0,0
139,49,139,49,49,0,49,46,0,0,0,0,0
100,52,100,52,52,0,52,40,0,0,0,0,0
127,29,127,29,29,0,29,31,0,0,0,0,0
58,56,58,56,56,0,56,25,0,0,0,0,0
